epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,13.425,2.862,2.6881,0.61675,0.24038,0.22996,0.09499,3.0909,1.4023,1.6742,0.0002557,0.0002557,0.0002557
1,2.5506,1.2422,1.4334,0.68535,0.30527,0.33351,0.17248,1.7845,1.0369,1.3855,0.00050891,0.00050891,0.00050891
2,2.0501,1.0694,1.3285,0.72856,0.32707,0.37916,0.19944,1.6504,0.92162,1.3342,0.00074975,0.00074975,0.00074975
3,1.8182,0.96933,1.2821,0.70724,0.41244,0.42705,0.23371,1.4725,0.83905,1.2812,0.00072751,0.00072751,0.00072751
4,1.7064,0.9105,1.2565,0.70075,0.43686,0.44803,0.24778,1.4329,0.81878,1.275,0.00072751,0.00072751,0.00072751
5,1.6492,0.87298,1.2413,0.66862,0.47141,0.48014,0.26727,1.3841,0.76212,1.26,0.0006963,0.0006963,0.0006963
6,1.5937,0.83632,1.22,0.69638,0.46594,0.48597,0.27819,1.3405,0.72455,1.2422,0.00065751,0.00065751,0.00065751
7,1.5412,0.80214,1.2102,0.6357,0.49811,0.50676,0.2903,1.336,0.68302,1.2379,0.00061209,0.00061209,0.00061209
8,1.5076,0.77831,1.1993,0.83898,0.48729,0.5444,0.31775,1.3089,0.67232,1.2307,0.00056116,0.00056116,0.00056116
9,1.4762,0.756,1.1906,0.68009,0.51566,0.54913,0.31968,1.3185,0.65295,1.2243,0.00050597,0.00050597,0.00050597
10,1.3633,0.69929,1.2517,0.65766,0.55019,0.55547,0.32889,1.3481,0.64805,1.2273,0.00044789,0.00044789,0.00044789
11,1.327,0.67113,1.2365,0.61936,0.56587,0.56796,0.34243,1.315,0.64067,1.223,0.00038835,0.00038835,0.00038835
12,1.2927,0.64495,1.2262,0.59448,0.57964,0.57788,0.35203,1.3255,0.62224,1.2205,0.0003288,0.0003288,0.0003288
13,1.263,0.62302,1.2148,0.59522,0.60822,0.58044,0.35489,1.3256,0.60317,1.2138,0.00027072,0.00027072,0.00027072
14,1.224,0.59857,1.2034,0.66181,0.58639,0.59227,0.36361,1.3346,0.60002,1.2145,0.00021553,0.00021553,0.00021553
16,1.1678,0.56112,1.1823,0.63344,0.56661,0.58804,0.3678,1.3527,0.58712,1.2128,0.00011918,0.00011918,0.00011918
17,1.1508,0.5465,1.1709,0.66157,0.56543,0.59325,0.3667,1.3721,0.58346,1.218,8.04E-05,8.04E-05,8.04E-05
18,1.1305,0.53194,1.1672,0.66464,0.5597,0.59032,0.36756,1.3916,0.57909,1.219,4.92E-05,4.92E-05,4.92E-05
19,1.1212,0.52255,1.159,0.64785,0.56873,0.59187,0.36915,1.4033,0.58028,1.2202,2.63E-05,2.63E-05,2.63E-05